Engagements,Followers at Posting,Description,Day_of_Week,Time_in_seconds,Album,Photo,Video
502093,36984682,the raptors bench trio of sergeibaka normanpowell4  fredvanvleet combine for 48 in game 4,1,84651,0,0,1
603380,36984682,kyle_lowry7 pulls from deep for the raptors in the 4th on tnt,1,82413,0,0,1
603380,36984682,k_mid22 with some english on the bucks dime,1,80398,0,0,1
725100,36984682,kawhi punches it home with the left on tnt,1,79361,0,0,1
661446,36984682,giannis_an34 goes baseline early to rock the rim on tnt,1,74869,0,0,1
322444,36955156,congrats to the 2018 19 nba all rookie first team led by unanimous selections lukadoncic  traeyoung,1,50552,0,1,0
722540,36955156,the warriors locked in for four games to advance to the #nbafinals presented by youtube tv #gatoradezero,1,45053,0,0,1
339265,36955156,will the bucks take a commanding 3 1 lead or will the raptors even the ecf up 2 2,1,32342,0,1,0
443330,36955156,tap to shop the warriors western conference champions gear from nbastore,1,2896,0,1,0
652193,36955156,hey stephencurry30 that was the first time teammates had triple doubles in the same #nbaplayoffs game in nbahistory,1,2298,0,0,1
652193,36955156,stephencurry30 37 13 11  money23green 18 14 11 become the first teammates in #nbaplayoffs history to record a triple double in the same game,1,1873,0,0,1
443330,36955156,the warriors defeat trailblazers 119 117 to advance to their 5th consecutive #nbafinals presented by youtube tv,1,1453,0,1,0
713427,36955156,money23green 18 14 11 reacts to a 5th straight #nbafinals appearance with the warriors,1,1266,0,0,1
470233,36955156,the warriors win the west  advance to their 5th consecutive #nbafinals presented by youtube tv,0,86079,0,1,0
675091,36955156,money23green triple extends the warriors lead late in ot on espn #nbaplayoffs,0,85536,0,0,1
443543,36955156,stephencurry30  money23green become the first teammates in nbahistory to record triple doubles in the same #nbaplayoffs game,0,84804,0,1,0
718485,36955156, meyersleonard11   espn,0,84565,0,0,1
427347,36955156,money23green notches the triple double for the warriors with 14 12 11 in the 4th #tripledoublealert,0,84474,0,1,0
696779,36955156,stephencurry30 dime  hesi in the 4th on espn #nbaplayoffs,0,84251,0,0,1
569271,36955156,stephencurry30 notches the triple double for the warriors with 37 10 10 in the 4th #tripledoublealert,0,84121,0,1,0
603391,36955156,damianlillard uses his dribble into the trailblazers triple,0,81642,0,0,1
603391,36955156,meyersleonard11 puts up 25 in the first half for the trailblazers on espn,0,81181,0,0,1
711819,36955156,stephencurry30 tosses it up early on espn,0,77173,0,0,1
404760,36955156,money23green arrives for game 4 of the western conference finals preparing for action with his #powerbeatspro ,0,73906,0,1,0
534517,36928789,in budweiserusa #legendarymoments history we showcase brandon roys 18 point 4th qtr to overcome trailblazers 23 point deficit in 2011 who do you think will take game 4 the trailblazers or warriors,0,64474,0,0,1
590945,36928789,"money23green showcases his  iq on both ends of the floor #nbabreakdown

 warriors x trailblazers g4
 900pm et  nbaonespn",0,43519,0,0,1
354472,36928789,its win or go home for the trailblazers as the warriors look to advance 900pm et nbaonespn,0,36424,0,1,0
412221,36928789,the raptors get on the board at home in the eastern conference finals,0,2716,0,1,0
646075,36928789,kawhi on tonights gritty raptors 2ot win with kristenledlow,6,83373,0,0,1
708249,36928789,kawhi leonard scores 19 of his game high 36 in the 4th  ot periods to power the raptors in game 3 of the ecf,6,82150,0,0,1
708249,36928789,the raptors take game 3 of the eastern conference finals in exciting fashion,6,81602,0,0,1
366002,36928789,the raptors 1 2 defeat the bucks 118 112 in double ot at home in game 3 of the eastern conference finals #nbaplayoffs,6,80358,0,1,0
843345,36928789, kawhi ,6,79213,0,0,1
589358,36928789,k_mid22s second chance sends bucks raptors to ot on tnt,6,77655,0,0,1
646075,36928789, reggiemillertnt predicts the fredvanvleet triple ,6,77197,0,0,1
443147,36928789,offense or defense,6,74628,0,1,0
843345,36928789, suction cups ,6,74239,0,0,1
686948,36928789,pskills43 muscles his way through the lane in game 3 #nbaplayoffs  nbaontnt,6,74158,0,0,1
708249,36928789,kawhi leonard steps back the raptors triple on tnt,6,72548,0,0,1
646086,36899744,marcgasol droppin dimes early on tnt for the raptors,6,69990,0,0,1
591423,36899744," brook lopez micd up 

 bucks x raptors g3
 7pm et  nbaontnt",6,51260,0,0,1
554182,36899744,superstars on both sides the eastern conference finals between the bucks  raptors continues 700pm et nbaontnt,6,42216,0,0,1
367570,36899744,the eastern conference finals heads up to toronto for game 3 700pm et nbaontnt,6,32822,0,1,0
436512,36899744,the warriors sit one win away from the #nbafinals presented by youtube tv with 3 0 western conference finals lead,6,5061,0,1,0
815419,36899744,stephencurry30 puts up 36 to lead the warriors in game 3 victory,6,851,0,0,1
436512,36899744,money23green puts up 20p 13r 12a in the warriors game 3 victory,6,558,1,0,0
505848,36899744,the warriors take 3 0 western conference finals lead with 110 99 victory in portland,5,86256,0,1,0
762187,36899744,stephencurry30 with the shake  triple,5,85011,0,0,1
775600,36899744,money23green powers his pregame warmup with the #powerbeatspro  for a big performance in portland,5,84709,0,0,1
459715,36899744,money23green secures his 3rd triple double of the 2019 #nbaplayoffs for the warriors with 18 11 11 through three quarters #tripledoublealert,5,83926,0,1,0
810406,36899744,stephencurry30 from deep plus the foul #nbaplayoffs  espn,5,82402,0,0,1
686960,36899744,meyersleonard11 gets the trailblazers crowd up #nbaplayoffs  espn,5,81828,0,0,1
626655,36899744,zachcollins_33 finds eneskanter11 in the paint for the trailblazers #nbaplayoffs  espn,5,79579,0,0,1
747095,36872342,"the warriors  trailblazers get to their spots for three #nbabreakdown

 wcf game 3
 900pm et
 espn",5,61689,0,0,1
577007,36872342,in budweiserusa #legendarymoments history we showcase rick barrys 55 point performance in game 3 of the 1967 #nbafinals for the warriors who do you have in game 3 warriors or trailblazers,5,52460,0,0,1
359722,36872342,from playing in the nbagleague to facing his brother in the western conference finals its been quite the journey for sdotcurry,5,40273,1,0,0
435542,36872342,the western conference finals heads up to portland for game 3 900pm et on espn,5,34342,0,1,0
