Engagements,Followers at Posting,Description,Day_of_Week,Time_in_seconds,Album,Photo,Video,Description_Score
502093,36984682,the raptors bench trio of sergeibaka normanpowell4  fredvanvleet combine for 48 in game 4,1,84651,0,0,1,-2.7568110680772997
603380,36984682,kyle_lowry7 pulls from deep for the raptors in the 4th on tnt,1,82413,0,0,1,-2.572584765311945
603380,36984682,k_mid22 with some english on the bucks dime,1,80398,0,0,1,-1.1452515208020866
725100,36984682,kawhi punches it home with the left on tnt,1,79361,0,0,1,0.7962909831508465
661446,36984682,giannis_an34 goes baseline early to rock the rim on tnt,1,74869,0,0,1,0.0129543443148184
322444,36955156,congrats to the 2018 19 nba all rookie first team led by unanimous selections lukadoncic  traeyoung,1,50552,0,1,0,-4.595028243375393
722540,36955156,the warriors locked in for four games to advance to the #nbafinals presented by youtube tv #gatoradezero,1,45053,0,0,1,-0.9862650904231016
339265,36955156,will the bucks take a commanding 3 1 lead or will the raptors even the ecf up 2 2,1,32342,0,1,0,-4.128714187558601
443330,36955156,tap to shop the warriors western conference champions gear from nbastore,1,2896,0,1,0,-1.7006455919160532
652193,36955156,hey stephencurry30 that was the first time teammates had triple doubles in the same #nbaplayoffs game in nbahistory,1,2298,0,0,1,-0.59163866197557
652193,36955156,stephencurry30 37 13 11  money23green 18 14 11 become the first teammates in #nbaplayoffs history to record a triple double in the same game,1,1873,0,0,1,-2.7395713484945405
443330,36955156,the warriors defeat trailblazers 119 117 to advance to their 5th consecutive #nbafinals presented by youtube tv,1,1453,0,1,0,-2.0238313934788854
713427,36955156,money23green 18 14 11 reacts to a 5th straight #nbafinals appearance with the warriors,1,1266,0,0,1,0.23959044373984373
470233,36955156,the warriors win the west  advance to their 5th consecutive #nbafinals presented by youtube tv,0,86079,0,1,0,0.04185832408194523
675091,36955156,money23green triple extends the warriors lead late in ot on espn #nbaplayoffs,0,85536,0,0,1,0.9830679201166809
443543,36955156,stephencurry30  money23green become the first teammates in nbahistory to record triple doubles in the same #nbaplayoffs game,0,84804,0,1,0,-1.0751100119663406
718485,36955156, meyersleonard11   espn,0,84565,0,0,1,0.3433831246804387
427347,36955156,money23green notches the triple double for the warriors with 14 12 11 in the 4th #tripledoublealert,0,84474,0,1,0,-2.0163879130754085
696779,36955156,stephencurry30 dime  hesi in the 4th on espn #nbaplayoffs,0,84251,0,0,1,1.278301791680112
569271,36955156,stephencurry30 notches the triple double for the warriors with 37 10 10 in the 4th #tripledoublealert,0,84121,0,1,0,-1.1212686006277175
603391,36955156,damianlillard uses his dribble into the trailblazers triple,0,81642,0,0,1,-1.0221830098157447
603391,36955156,meyersleonard11 puts up 25 in the first half for the trailblazers on espn,0,81181,0,0,1,-1.5451714308774094
711819,36955156,stephencurry30 tosses it up early on espn,0,77173,0,0,1,1.2917537597760114
404760,36955156,money23green arrives for game 4 of the western conference finals preparing for action with his #powerbeatspro ,0,73906,0,1,0,-3.8792083762679184
534517,36928789,in budweiserusa #legendarymoments history we showcase brandon roys 18 point 4th qtr to overcome trailblazers 23 point deficit in 2011 who do you think will take game 4 the trailblazers or warriors,0,64474,0,0,1,-6.460842467118277
590945,36928789,"money23green showcases his  iq on both ends of the floor #nbabreakdown

 warriors x trailblazers g4
 900pm et  nbaonespn",0,43519,0,0,1,-1.6977053805529527
354472,36928789,its win or go home for the trailblazers as the warriors look to advance 900pm et nbaonespn,0,36424,0,1,0,-2.7243860339923045
412221,36928789,the raptors get on the board at home in the eastern conference finals,0,2716,0,1,0,-2.588792281763923
646075,36928789,kawhi on tonights gritty raptors 2ot win with kristenledlow,6,83373,0,0,1,-1.2156022390020673
708249,36928789,kawhi leonard scores 19 of his game high 36 in the 4th  ot periods to power the raptors in game 3 of the ecf,6,82150,0,0,1,1.1991273762256947
708249,36928789,the raptors take game 3 of the eastern conference finals in exciting fashion,6,81602,0,0,1,-1.891288211855296
366002,36928789,the raptors 1 2 defeat the bucks 118 112 in double ot at home in game 3 of the eastern conference finals #nbaplayoffs,6,80358,0,1,0,-5.053661344015389
843345,36928789, kawhi ,6,79213,0,0,1,1.0233082976101342
589358,36928789,k_mid22s second chance sends bucks raptors to ot on tnt,6,77655,0,0,1,-2.1506841429868238
646075,36928789, reggiemillertnt predicts the fredvanvleet triple ,6,77197,0,0,1,-0.7490212239041083
443147,36928789,offense or defense,6,74628,0,1,0,-0.17487209924785455
843345,36928789, suction cups ,6,74239,0,0,1,0.43656674783167404
686948,36928789,pskills43 muscles his way through the lane in game 3 #nbaplayoffs  nbaontnt,6,74158,0,0,1,-1.105936758517235
708249,36928789,kawhi leonard steps back the raptors triple on tnt,6,72548,0,0,1,0.5276495305083614
646086,36899744,marcgasol droppin dimes early on tnt for the raptors,6,69990,0,0,1,-1.670753756654812
591423,36899744," brook lopez micd up 

 bucks x raptors g3
 7pm et  nbaontnt",6,51260,0,0,1,-4.552303528174475
554182,36899744,superstars on both sides the eastern conference finals between the bucks  raptors continues 700pm et nbaontnt,6,42216,0,0,1,-4.150156575337757
367570,36899744,the eastern conference finals heads up to toronto for game 3 700pm et nbaontnt,6,32822,0,1,0,-3.026055218730735
436512,36899744,the warriors sit one win away from the #nbafinals presented by youtube tv with 3 0 western conference finals lead,6,5061,0,1,0,-0.29566556837601554
815419,36899744,stephencurry30 puts up 36 to lead the warriors in game 3 victory,6,851,0,0,1,2.176964929286618
436512,36899744,money23green puts up 20p 13r 12a in the warriors game 3 victory,6,558,1,0,0,-0.2665051547941808
505848,36899744,the warriors take 3 0 western conference finals lead with 110 99 victory in portland,5,86256,0,1,0,-0.35943533367119773
762187,36899744,stephencurry30 with the shake  triple,5,85011,0,0,1,0.799313306320185
775600,36899744,money23green powers his pregame warmup with the #powerbeatspro  for a big performance in portland,5,84709,0,0,1,0.02836347147495888
459715,36899744,money23green secures his 3rd triple double of the 2019 #nbaplayoffs for the warriors with 18 11 11 through three quarters #tripledoublealert,5,83926,0,1,0,-1.3802639097284461
810406,36899744,stephencurry30 from deep plus the foul #nbaplayoffs  espn,5,82402,0,0,1,2.914622679551216
686960,36899744,meyersleonard11 gets the trailblazers crowd up #nbaplayoffs  espn,5,81828,0,0,1,-1.30151497105472
626655,36899744,zachcollins_33 finds eneskanter11 in the paint for the trailblazers #nbaplayoffs  espn,5,79579,0,0,1,-2.361330609095912
747095,36872342,"the warriors  trailblazers get to their spots for three #nbabreakdown

 wcf game 3
 900pm et
 espn",5,61689,0,0,1,-0.08530867910822026
577007,36872342,in budweiserusa #legendarymoments history we showcase rick barrys 55 point performance in game 3 of the 1967 #nbafinals for the warriors who do you have in game 3 warriors or trailblazers,5,52460,0,0,1,-1.5805394004886368
359722,36872342,from playing in the nbagleague to facing his brother in the western conference finals its been quite the journey for sdotcurry,5,40273,1,0,0,-3.40024160230447
435542,36872342,the western conference finals heads up to portland for game 3 900pm et on espn,5,34342,0,1,0,-1.47869645754614
470061,36872342,the bucks join the warriors with 2 0 conference leads #nbaplayoffs,5,20,0,1,0,-1.8481051859551474
603424,36872342,giannis_an34 powers the bucks to 2 0 ecf lead with 30 points  17 boards,4,83851,0,0,1,-1.8787789225204201
647517,36872342,giannis_an34 muscles into the lane for the and one #nbaplayoffs,4,82040,0,0,1,-1.2091234810229818
661494,36872342,giannis_an34 stretches for the slam on tnt,4,75445,0,0,1,-1.1599806810438438
661494,36872342,giannis_an34 with the slam  swat to open game 2 of the eastern conference finals on tnt,4,74598,0,0,1,-1.9360196389542728
465482,36846041, presenting the finalists for the six awards that honor the top performers from the 2018 19 regular season at the 2019 #nbaawards 900pm et june 24th nbaontnt,4,72862,1,0,0,-2.4162858628172916
608357,36846041,ahead of game 2 of the eastern conference finals 830pm et nbaontnt we flash back to kawhi at the #nbacombine repost nbahistory,4,70117,0,0,1,-3.2512946730957752
507998,36846041," giannis_an34s clutch 4th q in game 1 of the ecf #nbabreakdown

 raptors bucks g2
 830pm et
 nbaontnt",4,62000,0,0,1,-4.347767691205559
471492,36846041,our peeps spiceadams tristanj22 jesser  iamkrislondon of the #nbaplaymakers test their skills at the #nbacombine powered by under armour coverage continues 300pm et espn2,4,51755,0,0,1,-3.382308207276855
297294,36846041,will the raptors even the ecf up 1 1 or will the bucks go up 2 0 830pm et nbaontnt,4,37793,0,1,0,-4.873631550222661
470368,36846041,the warriors take 2 0 series lead in the western conference finals,4,6500,0,1,0,-0.5721453481856672
608834,36846041,andre with the big defensive stop for the warriors #phantomcam,4,3869,0,0,1,-0.12609559690209782
775812,36846041,the warriors close out on 14 3 run to win game 2 of the western conference finals,4,582,0,0,1,0.41766010555937366
652240,36846041,well have the film clip at home stephencurry30 on playing his brother sdotcurry #nbaplayoffs,4,289,0,0,1,-0.5847159160223059
427470,36846041,the warriors take 2 0 wcf lead over trailblazers with 114 111 home w,4,58,0,1,0,-1.8772220720104462
675140,36846041,andres defense seals the warriors game 2 victory #nbaplayoffs,3,85481,0,0,1,0.5309560081927587
538831,36846041,sdotcurry triple  money23green to flyght5 lob late in game 2 #nbaplayoffs,3,85036,0,0,1,-2.116027785504573
661506,36846041,what a play by damianlillard,3,84072,0,0,1,0.13881311257465156
597919,36846041,damianlillard finds the cutting meyersleonard11 for the trailblazers  on espn,3,83695,0,0,1,-2.318050022713546
647529,36846041,the trailblazers sink franchise #nbaplayoffs high for a half with 11 made threes in the first half on espn,3,81898,0,0,1,-1.6156608952184006
655460,36846041,jonasjerebko gets flashy to jbell  espn,3,79059,0,0,1,0.035099005180282195
689726,36817926,the warriors  trailblazers arrive for game 2 of the western conference finals on espn,3,70123,0,0,1,-2.130522766487135
420467,36817926, only 2 weeks left until the #nbafinals presented by youtube tv,3,66683,1,0,0,-1.2882859796136614
580642,36817926,"money23green tosses it to andre #nbabreakdown

 trailblazers warriors g2
 900pm et
 espn",3,53958,0,0,1,-1.7227977050518792
674842,36817926,before the #nbacombine powered by under armour gets underway 300pm et espn2 we throw it back to stephencurry30 in 2009,3,44856,0,0,1,-1.4364278288493588
368291,36817926,will the trailblazers even the wcf up 1 1 or will the warriors go up 2 0 900pm et nbaonespn,3,38159,0,1,0,-2.790509654636891
454003,36817926,the bucks join warriors with 1 0 conference finals lead #nbaplayoffs,3,1941,0,1,0,-1.5758407106046795
661518,36817926,brook lopez puts up 29 points  adds 4 blocks in the bucks ecf game 1 w,2,83835,0,0,1,-1.1857665349602258
350706,36817926,the bucks take 1 0 ecf series lead over raptors with 108 100 victory at home #nbaplayoffs,2,82986,0,1,0,-5.951400274366269
661518,36817926,brook lopez with the big slam  triple late for the bucks,2,82848,0,0,1,-1.8518654563352832
661518,36817926,thebledshow with a pair of tough finishes on tnt,2,79120,0,0,1,-1.5751444660648268
725178,36817926,shooters touch,2,78848,0,0,1,0.302556614752785
569098,36817926,pskills43 on the attack #phantomcam,2,78229,0,0,1,-0.723719319184876
